2019 rank,City,State,2019 estimate,2010 Census,Change,2016 land area mi2,2016 land area km2,2016 population density mi2,2016 population density km2,Location
55,Anaheim,California,350365,336265,+4.19%,50.0 mi2,129.5 km2,7021/mi2,2711/km2,33.8555°N 117.7601°W
56,Honolulu,Hawaii,345064,337256,+2.32%,60.5 mi2,156.7 km2,5815/mi2,2245/km2,21.3243°N 157.8476°W
57,Santa Ana,California,332318,324528,+2.40%,27.1 mi2,70.2 km2,12333/mi2,4762/km2,33.7363°N 117.8830°W
58,Riverside,California,331360,303871,+9.05%,81.2 mi2,210.3 km2,3999/mi2,1544/km2,33.9381°N 117.3932°W
59,Corpus Christi,Texas,326586,305215,+7.00%,174.6 mi2,452.2 km2,1866/mi2,720/km2,27.7543°N 97.1734°W
60,Lexington,Kentucky,323152,295803,+9.25%,283.6 mi2,734.5 km2,1123/mi2,434/km2,38.0407°N 84.4583°W
61,Henderson,Nevada,320189,257729,+24.23%,104.7 mi2,271.2 km2,2798/mi2,1080/km2,36.0097°N 115.0357°W
62,Stockton,California,312697,291707,+7.20%,61.7 mi2,159.8 km2,4977/mi2,1922/km2,37.9763°N 121.3133°W
63,Saint Paul,Minnesota,308096,285068,+8.08%,52.0 mi2,134.7 km2,5815/mi2,2245/km2,44.9489°N 93.1041°W
64,Cincinnati,Ohio,303940,296943,+2.36%,77.4 mi2,200.5 km2,3860/mi2,1490/km2,39.1402°N 84.5058°W
65,St. Louis,Missouri,300576,319294,-5.86%,62.0 mi2,160.6 km2,5023/mi2,1939/km2,38.6357°N 90.2446°W
66,Pittsburgh,Pennsylvania,300286,305704,-1.77%,55.4 mi2,143.5 km2,5481/mi2,2116/km2,40.4398°N 79.9766°W
67,Greensboro,North Carolina,296710,269666,+10.03%,128.3 mi2,332.3 km2,2237/mi2,864/km2,36.0951°N 79.8270°W
68,Lincoln,Nebraska,289102,258379,+11.89%,92.1 mi2,238.5 km2,3044/mi2,1175/km2,40.8105°N 96.6803°W
69,Anchorage,Alaska,288000,291826,-1.31%,1706.6 mi2,4420.1 km2,175/mi2,68/km2,61.1743°N 149.2843°W
70,Plano,Texas,287677,259841,+10.71%,71.7 mi2,185.7 km2,3990/mi2,1540/km2,33.0508°N 96.7479°W
71,Orlando,Florida,287442,238300,+20.62%,105.2 mi2,272.5 km2,2635/mi2,1017/km2,28.4166°N 81.2736°W
72,Irvine,California,287401,212375,+35.33%,65.6 mi2,169.9 km2,4057/mi2,1566/km2,33.6784°N 117.7713°W
73,Newark,New Jersey,282011,277140,+1.76%,24.1 mi2,62.4 km2,11691/mi2,4514/km2,40.7242°N 74.1726°W
74,Durham,North Carolina,278993,228330,+22.19%,109.8 mi2,284.4 km2,2395/mi2,925/km2,35.9811°N 78.9029°W
75,Chula Vista,California,274492,243916,+12.54%,49.6 mi2,128.5 km2,5387/mi2,2080/km2,32.6277°N 117.0152°W
76,Toledo,Ohio,272779,287208,-5.02%,80.7 mi2,209.0 km2,3451/mi2,1332/km2,41.6641°N 83.5819°W
